DATE,SalesPersonCode,Time,NetAmount
2023-01-03,544,12:51 PM,59.11
2023-01-03,544,3:54 PM,139.16
2023-01-03,544,10:01 AM,351.67
2023-01-03,544,1:40 PM,740.06
2023-01-03,544,3:45 PM,616.51
2023-01-03,544,5:20 PM,75.53
2023-01-03,544,2:27 PM,131.04
2023-01-03,544,7:33 PM,147.55
2023-01-03,544,11:13 AM,119.37
2023-01-03,544,3:38 PM,53.45
2023-01-03,544,12:30 PM,6.74
2023-01-03,544,5:20 PM,25.22
2023-01-03,544,10:12 AM,75.98
2023-01-03,544,5:46 PM,44.88
2023-01-03,544,12:56 PM,153.73
2023-01-03,544,12:57 PM,916.43
2023-01-03,544,5:29 PM,987.3
2023-01-03,544,8:01 PM,71.27
2023-01-03,544,6:17 PM,448.69
2023-01-03,544,6:53 PM,54.33
2023-01-03,544,8:18 PM,486.98
2023-01-03,544,1:22 PM,456.49
2023-01-03,544,2:12 PM,21.54
2023-01-03,544,3:38 PM,33.76
2023-01-03,544,12:31 PM,500.15
2023-01-03,544,1:38 PM,338.06
2023-01-04,254,9:45 AM,2975.0
2023-01-04,254,10:02 AM,2390.0
2023-01-04,254,10:32 AM,1100.0
2023-01-04,254,11:28 AM,5750.0
2023-01-04,254,11:30 AM,495.0
2023-01-04,254,1:07 PM,3450.0
2023-01-04,254,1:18 PM,3940.0
2023-01-04,254,1:24 PM,2690.0
2023-01-04,254,1:25 PM,2690.0
